Present         Present Cont    Past            Past Part      
skyrocket       skyrocketing    skyrocketed     skyrocketed    
slack           slacking        slacked         slacked        
slacken         slackening      slackened       slackened      
slag            slagging        slagged         slagged        
slake           slaking         slaked          slaked         
slam            slamming        slammed         slammed        
slander         slandering      slandered       slandered      
slant           slanting        slanted         slanted        
slap            slapping        slapped         slapped        
slash           slashing        slashed         slashed        
slate           slating         slated          slated         
slather         slathering      slathered       slathered      
slaughter       slaughtering    slaughtered     slaughtered    
slave           slaving         slaved          slaved         
slaver          slavering       slavered        slavered       
slay            slaying         slew            slain          
sledge          sledging        sledged         sledged        
sleek           sleeking        sleeked         sleeked        
sleep           sleeping        slept           slept          
sleepwalk       sleepwalking    sleepwalked     sleepwalked    
sleet           sleeting        sleeted         sleeted        
slew            slewing         slewed          slewed         
slice           slicing         sliced          sliced         
slick           slicking        slicked         slicked        
slide           sliding         slid            slid           
slight          slighting       slighted        slighted       
slim            slimming        slimmed         slimmed        
sling           None            None            None           
slink           slinking        slunk           slunk          
slip            slipping        slipped         slipped        
slit            slitting        slit            slit           
slither         slithering      slithered       slithered      
slob            None            None            None           
slobber         slobbering      slobbered       slobbered      
slog            slogging        slogged         slogged        
slop            sloping         sloped          slopped        
slope           sloping         sloped          sloped         
slosh           sloshing        sloshed         sloshed        
slot            slotting        slotted         slotted        
slouch          slouching       slouched        slouched       
slough          sloughing       sloughed        sloughed       
slow            slowing         slowed          slowed         
slug            slugging        slugged         slugged        
sluice          sluicing        sluiced         sluiced        
slum            slumming        slummed         slummed        
slumber         slumbering      slumbered       slumbered      
slump           slumping        slumped         slumped        
slur            slurring        slurred         slurred        
slurp           slurping        slurped         slurped        
smack           smacking        smacked         smacked        
smart           smarting        smarted         smarted        
smarten         smartening      smartened       smartened      
smash           smashing        smashed         smashed        
smear           smearing        smeared         smeared        
smell           smelling        smelled         smelt          
smelt           smelling        smelled         smelt          
smile           smiling         smiled          smiled         
smirk           smirking        smirked         smirked        
smite           smiting         smote           smitten        
smoke           smoking         smoked          smoked         
smooch          smooching       smooched        smooched       
smoodge         smoodging       smoodged        smoodged       
smooth          smoothing       smoothed        smoothed       
smother         smothering      smothered       smothered      
smoulder        smouldering     smouldered      smouldered     
smudge          smudging        smudged         smudged        
smuggle         smuggling       smuggled        smuggled       
snack           snacking        snacked         snacked        
snaffle         snaffling       snaffled        snaffled       
snag            snagging        snagged         snagged        
snaggle         None            None            None           
snake           snaking         snaked          snaked         
snap            snapping        snapped         snapped        
snare           snaring         snared          snared         
snarf           snarfing        snarfed         snarfed        
snarl           snarling        snarled         snarled        
snatch          snatching       snatched        snatched       
sneak           sneaking        sneaked         sneaked        
sneer           sneering        sneered         sneered        
sneeze          sneezing        sneezed         sneezed        
snicker         snickering      snickered       snickered      
sniff           sniffing        sniffed         sniffed        
sniffle         sniffling       sniffled        sniffled       
snigger         sniggering      sniggered       sniggered      
snip            snipping        snipped         snipped        
snipe           sniping         sniped          sniped         
snitch          snitching       snitched        snitched       
snivel          sniveling       sniveled        sniveled       
snog            snogging        snogged         snogged        
snooker         snookering      snookered       snookered      
snoop           snooping        snooped         snooped        
snooper         None            None            None           
snooze          snoozing        snoozed         snoozed        
snore           snoring         snored          snored         
snorkel         snorkeling      snorkeled       snorkeled      
snort           snorting        snorted         snorted        
snow            snowing         snowed          snowed         
snowball        snowballing     snowballed      snowballed     
snowplough      None            None            None           
snowplow        snowplowing     snowplowed      snowplowed     
snub            snubbing        snubbed         snubbed        
snuff           snuffing        snuffed         snuffed        
snuffle         snuffling       snuffled        snuffled       
snuffling       snuffling       snuffled        snuffled       
snuggle         snuggling       snuggled        snuggled       
soak            soaking         soaked          soaked         
soap            soaping         soaped          soaped         
soar            soaring         soared          soared         
sob             sobbing         sobbed          sobbed         
sober           sobering        sobered         sobered        
socialise       socialising     socialised      socialised     
socialize       socializing     socialized      socialized     
sock            socking         socked          socked         
sod             sodding         sod             sodded         
sodomise        sodomising      sodomised       sodomised      
sodomize        sodomizing      sodomized       sodomized      
soften          softening       softened        softened       
soil            soiling         soiled          soiled         
sojourn         sojourning      sojourned       sojourned      
solace          solacing        solaced         solaced        
solder          soldering       soldered        soldered       
soldier         soldiering      soldiered       soldiered      
sole            soling          soled           soled          
solemnise       solemnising     solemnised      solemnised     
solemnize       solemnizing     solemnized      solemnized     
solicit         soliciting      solicited       solicited      
solidify        solidifying     solidified      solidified     
soliloquize     soliloquizing   soliloquized    soliloquized   
solve           solving         solved          solved         
somersault      somersaulting   somersaulted    somersaulted   
soothe          soothing        soothed         soothed        
sorrow          sorrowing       sorrowed        sorrowed       
sort            sorting         sorted          sorted         
sough           soughing        soughed         soughed        
sound           sounding        sounded         sounded        
soundproof      soundproofing   soundproofed    soundproofed   
soup            souping         souped          souped         
sour            souring         soured          soured         
source          sourcing        sourced         sourced        
souse           sousing         soused          soused         
sow             sowing          sowed           sown           
space           spacing         spaced          spaced         
span            spanning        spanned         spanned        
spangle         spangling       spangled        spangled       
spank           spanking        spanked         spanked        
spar            sparring        sparred         sparred        
spare           sparing         spared          spared         
spark           sparking        sparked         sparked        
sparkle         sparkling       sparkled        sparkled       
spatter         spattering      spattered       spattered      
spattering      spattering      spattered       spattered      
spawn           spawning        spawned         spawned        
spay            spaying         spayed          spayed         
speak           speaking        spoke           spoken         
spear           spearing        speared         speared        
spearhead       spearheading    spearheaded     spearheaded    
spec            specing         specd           specd          
specialise      specialising    specialised     specialised    
specialize      specializing    specialized     specialized    
specify         specifying      specified       specified      
spectacles      None            None            None           
spectate        spectating      spectated       spectated      
speculate       speculating     speculated      speculated     
speed           speeding        sped            sped           
spell           spelling        spelled         spelled        
spellcheck      None            None            None           
spend           spending        spent           spent          
spew            spewing         spewed          spewed         
spice           spicing         spiced          spiced         
spiff           spiffing        spiffed         spiffed        
spike           spiking         spiked          spiked         
spill           spilling        spilled         spilled        
spin            spinning        spun            spun           
spiral          spiralling      spiraled        spiraled       
spirit          spiriting       spirited        spirited       
spit            spitting        spat            spitted        
spite           spiting         spited          spited         
splash          splashing       splashed        splashed       
splatter        splattering     splattered      splattered     
splay           splaying        splayed         splayed        
splice          splicing        spliced         spliced        
splinter        splintering     splintered      splintered     
split           splitting       split           split          
splosh          sploshing       sploshed        sploshed       
splurge         splurging       splurged        splurged       
splutter        spluttering     spluttered      spluttered     
spoil           spoiling        spoiled         spoiled        
sponge          sponging        sponged         sponged        
sponsor         sponsoring      sponsored       sponsored      
spoof           spoofing        spoofed         spoofed        
spook           spooking        spooked         spooked        
spool           spooling        spooled         spooled        
spoon           spooning        spooned         spooned        
sport           sporting        sported         sported        
sports          sporting        sported         sported        
spot            spotting        spotted         spotted        
spotlight       spotlighting    spotlighted     spotlighted    
spout           spouting        spouted         spouted        
sprain          spraining       sprained        sprained       
sprawl          sprawling       sprawled        sprawled       
spray           spraying        sprayed         sprayed        
spread          spreading       spread          spread         
spreadeagle     spreadeagleing  spreadeagled    spreadeagled   
spring          springing       sprang          sprung         
springboard     None            None            None           
sprinkle        sprinkling      sprinkled       sprinkled      
sprint          sprinting       sprinted        sprinted       
spritz          spritzing       spritzed        spritzed       
sprout          sprouting       sprouted        sprouted       
spruce          sprucing        spruced         spruced        
spur            spurring        spurred         spurred        
spurn           spurning        spurned         spurned        
spurt           spurting        spurted         spurted        
sputter         sputtering      sputtered       sputtered      
spy             spying          spied           spied          
squabble        squabbling      squabbled       squabbled      
squall          squalling       squalled        squalled       
squander        squandering     squandered      squandered     
square          squaring        squared         squared        
squash          squashing       squashed        squashed       
squat           squatting       squatted        squatted       
squawk          squawking       squawked        squawked       
squeak          squeaking       squeaked        squeaked       
squeal          squealing       squealed        squealed       
squeeze         squeezing       squeezed        squeezed       
squelch         squelching      squelched       squelched      
squint          squinting       squinted        squinted       
squirm          squirming       squirmed        squirmed       
squirrel        squirreling     squirreled      squirreled     
squirt          squirting       squirted        squirted       
squish          squishing       squished        squished       
stab            stabbing        stabbed         stabbed        
stabilise       stabilising     stabilised      stabilised     
stabilize       stabilizing     stabilized      stabilized     
stable          stabling        stabled         stabled        
stables         stabling        stabled         stabled        
stack           stacking        stacked         stacked        
staff           staffing        staffed         staffed        
stage           staging         staged          staged         
stagger         staggering      staggered       staggered      
stagnate        stagnating      stagnated       stagnated      
stain           staining        stained         stained        
stake           staking         staked          staked         
stalk           stalking        stalked         stalked        
stall           stalling        stalled         stalled        
stammer         stammering      stammered       stammered      
stamp           stamping        stamped         stamped        
stampede        stampeding      stampeded       stampeded      
stanch          stanching       stanched        stanched       
stand           standing        stood           stood          
standardise     standardising   standardised    standardised   
standardize     standardizing   standardized    standardized   
staple          stapling        stapled         stapled        
star            staring         stared          stared         
starch          starching       starched        starched       
stare           staring         stared          stared         
start           starting        started         started        
startle         startling       startled        startled       
starve          starving        starved         starved        
stash           stashing        stashed         stashed        
state           stating         stated          stated         
statement       None            None            None           
station         stationing      stationed       stationed      
staunch         staunching      staunched       staunched      
stave           staving         staved          staved         
stay            staying         stayed          stayed         
steady          steadying       steadied        steadied       
steal           stealing        stole           stolen         
steam           steaming        steamed         steamed        
steamroller     steamrollering  steamrollered   steamrollered  
steel           steeling        steeled         steeled        
steep           steeping        steeped         steeped        
steepen         steepening      steepened       steepened      
steer           steering        steered         steered        
stem            stemming        stemmed         stemmed        
stencil         stenciling      stenciled       stenciled      
step            stepping        stepped         stepped        
stereotype      stereotyping    stereotyped     stereotyped    
sterilise       sterilising     sterilised      sterilised     
sterilize       sterilizing     sterilized      sterilized     
stew            stewing         stewed          stewed         
stick           sticking        stuck           stuck          
stickybeak      None            None            None           
stiff           stiffing        stiffed         stiffed        
stiffen         stiffening      stiffened       stiffened      
stifle          stifling        stifled         stifled        
stigmatise      stigmatising    stigmatised     stigmatised    
stigmatize      stigmatizing    stigmatized     stigmatized    
still           stilling        stilled         stilled        
stimulate       stimulating     stimulated      stimulated     
sting           None            None            None           
stinger         None            None            None           
stink           stinking        stank           stunk          
stint           stinting        stinted         stinted        
stipple         stippling       stippled        stippled       
stipulate       stipulating     stipulated      stipulated     
stir            stirring        stirred         stirred        
stitch          stitching       stitched        stitched       
stock           stocking        stocked         stocked        
stockpile       stockpiling     stockpiled      stockpiled     
stoke           stoking         stoked          stoked         
stomach         stomaching      stomached       stomached      
stomp           stomping        stomped         stomped        
stone           stoning         stoned          stoned         
stonewall       stonewalling    stonewalled     stonewalled    
stoop           stooping        stooped         stooped        
stop            stopping        stopped         stopped        
stopper         stoppering      stoppered       stoppered      
store           storing         stored          stored         
storm           storming        stormed         stormed        
storyboard      storyboarding   storyboarded    storyboarded   
stow            stowing         stowed          stowed         
straddle        straddling      straddled       straddled      
strafe          strafing        strafed         strafed        
straggle        straggling      straggled       straggled      
straighten      straightening   straightened    straightened   
strain          straining       strained        strained       
strand          stranding       stranded        stranded       
strangle        strangling      strangled       strangled      
strap           strapping       strapped        strapped       
stratify        stratifying     stratified      stratified     
stravage        stravaging      stravaged       stravaged      
stravaig        stravaiging     stravaiged      stravaiged     
stray           straying        strayed         strayed        
streak          streaking       streaked        streaked       
stream          streaming       streamed        streamed       
streamline      streamlining    streamlined     streamlined    
strengthen      strengthening   strengthened    strengthened   
stress          stressing       stressed        stressed       
stretch         stretching      stretched       stretched      
stretcher       stretchering    stretchered     stretchered    
strew           strewing        strewed         strewn         
stride          striding        strode          stridden       
strike          striking        struck          struck         
string          stringing       strung          strung         
strip           stripping       stripped        stripped       
strive          striving        strove          striven        
stroke          stroking        stroked         stroked        
stroll          strolling       strolled        strolled       
structure       structuring     structured      structured     
struggle        struggling      struggled       struggled      
strum           strumming       strummed        strummed       
strut           strutting       strutted        strutted       
stub            stubbing        stubbed         stubbed        
stud            studding        studded         studded        
study           studying        studied         studied        
stuff           stuffing        stuffed         stuffed        
stultify        stultifying     stultified      stultified     
stumble         stumbling       stumbled        stumbled       
stump           stumping        stumped         stumped        
stun            stunning        stunned         stunned        
stunt           stunting        stunted         stunted        
stupefy         stupefying      stupefied       stupefied      
stutter         stuttering      stuttered       stuttered      
style           styling         styled          styled         
stymie          stymieing       stymied         stymied        
sub             subbing         subbed          subbed         
subcontract     subcontracting  subcontracted   subcontracted  
subdivide       subdividing     subdivided      subdivided     
subdue          subduing        subdued         subdued        
subedit         subediting      subedited       subedited      
subject         subjecting      subjected       subjected      
subjugate       subjugating     subjugated      subjugated     
sublet          subletting      sublet          sublet         
sublimate       sublimating     sublimated      sublimated     
submerge        submerging      submerged       submerged      
submit          submitting      submitted       submitted      
subordinate     subordinating   subordinated    subordinated   
suborn          suborning       suborned        suborned       
subpoena        subpoenaing     subpoenaed      subpoenaed     
subscribe       subscribing     subscribed      subscribed     
subside         subsiding       subsided        subsided       
subsidise       subsidising     subsidised      subsidised     
subsidize       subsidizing     subsidized      subsidized     
subsist         subsisting      subsisted       subsisted      
substantiate    substantiating  substantiated   substantiated  
substitute      substituting    substituted     substituted    
subsume         subsuming       subsumed        subsumed       
subtend         subtending      subtended       subtended      
subtitle        subtitling      subtitled       subtitled      
subtract        subtracting     subtracted      subtracted     
subvert         subverting      subverted       subverted      
succeed         succeeding      succeeded       succeeded      
succor          succoring       succored        succored       
succour         succouring      succoured       succoured      
succumb         succumbing      succumbed       succumbed      
suck            sucking         sucked          sucked         
sucker          suckering       suckered        suckered       
suckle          suckling        suckled         suckled        
suction         suctioning      suctioned       suctioned      
sue             suing           sued            sued           
suffer          suffering       suffered        suffered       
suffice         sufficing       sufficed        sufficed       
suffocate       suffocating     suffocated      suffocated     
suffuse         suffusing       suffused        suffused       
sugar           sugaring        sugared         sugared        
suggest         suggesting      suggested       suggested      
suit            suiting         suited          suited         
sulk            sulking         sulked          sulked         
sulks           sulking         sulked          sulked         
sully           sullying        sullied         sullied        
sum             summing         summed          summed         
summarise       summarising     summarised      summarised     
summarize       summarizing     summarized      summarized     
summon          summoning       summoned        summoned       
summons         summoning       summoned        summoned       
sun             sunning         sunned          sunned         
sunbathe        sunbathing      sunbathed       sunbathed      
sunder          sundering       sundered        sundered       
sunset          sunsetting      sunset          sunset         
sup             supping         supped          supped         
superimpose     superimposing   superimposed    superimposed   
superintend     superintending  superintended   superintended  
superpose       superposing     superposed      superposed     
supersede       superseding     superseded      superseded     
supersize       None            None            None           
supersized      None            None            None           
supervene       supervening     supervened      supervened     
supervise       supervising     supervised      supervised     
supplant        supplanting     supplanted      supplanted     
supplement      supplementing   supplemented    supplemented   
supply          supplying       supplied        supplied       
support         supporting      supported       supported      
suppose         supposing       supposed        supposed       
suppress        suppressing     suppressed      suppressed     
suppurate       suppurating     suppurated      suppurated     
surcharge       surcharging     surcharged      surcharged     
surf            surfing         surfed          surfed         
surface         surfacing       surfaced        surfaced       
surge           surging         surged          surged         
surmise         surmising       surmised        surmised       
surmount        surmounting     surmounted      surmounted     
surpass         surpassing      surpassed       surpassed      
surprise        surprising      surprised       surprised      
surrender       surrendering    surrendered     surrendered    
surround        surrounding     surrounded      surrounded     
survey          surveying       surveyed        surveyed       
survive         surviving       survived        survived       
suspect         suspecting      suspected       suspected      
suspend         suspending      suspended       suspended      
suspenders      None            None            None           
suss            sussing         sussed          sussed         
sustain         sustaining      sustained       sustained      
suture          suturing        sutured         sutured        
swab            swabbing        swabbed         swabbed        
swaddle         swaddling       swaddled        swaddled       
swagger         swaggering      swaggered       swaggered      
swallow         swallowing      swallowed       swallowed      
swamp           swamping        swamped         swamped        
swan            swanning        swanned         swanned        
swank           swanking        swanked         swanked        
swap            swapping        swapped         swapped        
swarm           swarming        swarmed         swarmed        
swat            swatting        swatted         swatted        
swath           swathing        swathed         swathed        
swathe          swathing        swathed         swathed        
sway            swaying         swayed          swayed         
swear           swearing        swore           sworn          
sweat           sweating        sweat           sweat          
sweep           sweeping        swept           swept          
sweeps          sweeping        swept           swept          
sweeten         sweetening      sweetened       sweetened      
swell           swelling        swelled         swelled        
swelter         sweltering      sweltered       sweltered      
swerve          swerving        swerved         swerved        
swig            swigging        swigged         swigged        
swill           swilling        swilled         swilled        
swim            swimming        swam            swum           
swindle         swindling       swindled        swindled       
swing           swinging        swung           swung          
swipe           swiping         swiped          swiped         
swirl           swirling        swirled         swirled        
swish           swishing        swished         swished        
switch          switching       switched        switched       
swivel          swiveling       swiveled        swiveled       
swoon           swooning        swooned         swooned        
swoop           swooping        swooped         swooped        
swoosh          swooshing       swooshed        swooshed       
swot            swotting        swotted         swotted        
symbolise       symbolising     symbolised      symbolised     
symbolize       symbolizing     symbolized      symbolized     
sympathise      sympathising    sympathised     sympathised    
sympathize      sympathizing    sympathized     sympathized    
symptomize      symptomizing    symptomized     symptomized    
synchronise     synchronising   synchronised    synchronised   
synchronize     synchronizing   synchronized    synchronized   
syndicate       syndicating     syndicated      syndicated     
synthesise      synthesising    synthesised     synthesised    
synthesize      synthesizing    synthesized     synthesized    
syringe         syringing       syringed        syringed       
systematise     systematising   systematised    systematised   
systematize     systematizing   systematized    systematized   
tab             tabbing         tabbed          tabbed         
table           tabling         tabled          tabled         
tabulate        tabulating      tabulated       tabulated      
tack            tacking         tacked          tacked         
tackle          tackling        tackled         tackled        
tag             tagging         tagged          tagged         
tail            tailing         tailed          tailed         
tailgate        tailgating      tailgated       tailgated      
tailor          tailoring       tailored        tailored       
taint           tainting        tainted         tainted        
take            taking          took            taken          
talk            talking         talked          talked         
tally           tallying        tallied         tallied        
tame            taming          tamed           tamed          
tamp            tamping         tamped          tamped         
tamper          tampering       tampered        tampered       
tan             tanning         tanned          tanned         
tangle          tangling        tangled         tangled        
tango           tangoing        tangoed         tangoed        
tank            tanking         tanked          tanked         
tankful         None            None            None           
tantalise       tantalising     tantalised      tantalised     
tantalize       tantalizing     tantalized      tantalized     
tap             tapping         tapped          tapped         
tape            taping          taped           taped          
taper           tapering        tapered         tapered        
tar             tarring         tarred          tarred         
target          targeting       targeted        targeted       
tarmac          tarmacking      tarmacked       tarmacked      
tarnish         tarnishing      tarnished       tarnished      
tarry           tarrying        tarried         tarried        
tart            tarting         tarted          tarted         
task            tasking         tasked          tasked         
taste           tasting         tasted          tasted         
tattle          tattling        tattled         tattled        
tattoo          tattooing       tattooed        tattooed       
taunt           taunting        taunted         taunted        
tauten          tautening       tautened        tautened       
tax             taxing          taxed           taxed          
taxi            taxiing         taxied          taxied         
taxicab         None            None            None           
teach           teaching        taught          taught         
team            teaming         teamed          teamed         
tear            tearing         tore            torn           
tease           teasing         teased          teased         
tee             teeing          teed            teed           
teem            teeming         teemed          teemed         
teeter          teetering       teetered        teetered       
teethe          teething        teethed         teethed        
telecast        telecasting     telecast        telecast       
telecommute     telecommuting   telecommuted    telecommuted   
teleconference  teleconferencing teleconferenced teleconferenced
telegraph       telegraphing    telegraphed     telegraphed    
telemeter       telemetering    telemetered     telemetered    
teleoperate     None            None            None           
telephone       telephoning     telephoned      telephoned     
teleport        teleporting     teleported      teleported     
telescope       telescoping     telescoped      telescoped     
televise        televising      televised       televised      
telex           telexing        telexed         telexed        
tell            telling         told            told           
telnet          telnetting      telnetted       telnetted      
temp            temping         temped          temped         
temper          tempering       tempered        tempered       
temporise       temporising     temporised      temporised     
temporize       temporizing     temporized      temporized     
tempt           tempting        tempted         tempted        
tenant          tenanting       tenanted        tenanted       
tend            tending         tended          tended         
tender          tendering       tendered        tendered       
tenderise       tenderising     tenderised      tenderised     
tenderize       tenderizing     tenderized      tenderized     
tense           tensing         tensed          tensed         
tension         tensioning      tensioned       tensioned      
tergiversate    tergiversating  tergiversated   tergiversated  
term            terming         termed          termed         
terminate       terminating     terminated      terminated     
terraform       terraforming    terraformed     terraformed    
terrify         terrifying      terrified       terrified      
terrorise       terrorising     terrorised      terrorised     
terrorize       terrorizing     terrorized      terrorized     
test            testing         tested          tested         
testify         testifying      testified       testified      
tether          tethering       tethered        tethered       
text            None            None            None           
thank           thanking        thanked         thanked        
thatch          thatching       thatched        thatched       
thaw            thawing         thawed          thawed         
theorise        theorising      theorised       theorised      
theorize        theorizing      theorized       theorized      
thicken         thickening      thickened       thickened      
thin            thinning        thinned         thinned        
think           thinking        thought         thought        
thirst          thirsting       thirsted        thirsted       
thrash          thrashing       thrashed        thrashed       
thread          threading       threaded        threaded       
threaten        threatening     threatened      threatened     
thresh          threshing       threshed        threshed       
thrill          thrilling       thrilled        thrilled       
thrive          thriving        thrived         thrived        
throb           throbbing       throbbed        throbbed       
throbbing       throbbing       throbbed        throbbed       
throng          thronging       thronged        thronged       
throttle        throttling      throttled       throttled      
throw           throwing        threw           thrown         
thrust          thrusting       thrust          thrust         
thud            thudding        thudded         thudded        
thumb           thumbing        thumbed         thumbed        
thump           thumping        thumped         thumped        
thunder         thundering      thundered       thundered      
thwack          thwacking       thwacked        thwacked       
thwart          thwarting       thwarted        thwarted       
tick            ticking         ticked          ticked         
ticket          ticketing       ticketed        ticketed       
tickle          tickling        tickled         tickled        
tide            tiding          tided           tided          
tidy            tidying         tidied          tidied         
tie             tying           tied            tied           
tighten         tightening      tightened       tightened      
tile            tiling          tiled           tiled          
till            tilling         tilled          tilled         
tilt            tilting         tilted          tilted         
time            timing          timed           timed          
timetable       timetabling     timetabled      timetabled     
tinge           tingeing        tinged          tinged         
tingle          tingling        tingled         tingled        
tingling        tingling        tingled         tingled        
tinker          tinkering       tinkered        tinkered       
tinkle          tinkling        tinkled         tinkled        
tinkling        tinkling        tinkled         tinkled        
tint            tinting         tinted          tinted         
tip             tipping         tipped          tipped         
tippex          None            None            None           
tipple          tippling        tippled         tippled        
tiptoe          tiptoeing       tiptoed         tiptoed        
tire            tiring          tired           tired          
titillate       titillating     titillated      titillated     
titivate        titivating      titivated       titivated      
title           titling         titled          titled         
titrate         titrating       titrated        titrated       
titter          tittering       tittered        tittered       
toady           toadying        toadied         toadied        
toast           toasting        toasted         toasted        
toboggan        tobogganing     tobogganed      tobogganed     
toddle          toddling        toddled         toddled        
toe             toeing          toed            toed           
tog             togging         togged          togged         
toggle          toggling        toggled         toggled        
toil            toiling         toiled          toiled         
toke            toking          toked           toked          
tolerate        tolerating      tolerated       tolerated      
toll            tolling         tolled          tolled         
tone            toning          toned           toned          
tongue          tonguing        tongued         tongued        
tonify          None            None            None           
tool            tooling         tooled          tooled         
toot            tooting         tooted          tooted         
tootle          tootling        tootled         tootled        
top             topping         topped          topped         
topple          toppling        toppled         toppled        
torch           torching        torched         torched        
torment         tormenting      tormented       tormented      
torpedo         torpedoing      torpedoed       torpedoed      
torture         torturing       tortured        tortured       
toss            tossing         tossed          tossed         
tot             totting         totted          totted         
total           totaling        totaled         totaled        
tote            toting          toted           toted          
totter          tottering       tottered        tottered       
touch           touching        touched         touched        
tough           toughing        toughed         toughed        
toughen         toughening      toughened       toughened      
tour            touring         toured          toured         
tousle          tousling        tousled         tousled        
tout            touting         touted          touted         
tow             towing          towed           towed          
towel           toweling        toweled         toweled        
tower           towering        towered         towered        
toy             toying          toyed           toyed          
trace           tracing         traced          traced         
track           tracking        tracked         tracked        
trade           trading         traded          traded         
traduce         traducing       traduced        traduced       
traffic         trafficking     trafficked      trafficked     
trail           trailing        trailed         trailed        
train           training        trained         trained        
traipse         traipsing       traipsed        traipsed       
trammel         trammeling      trammeled       trammeled      
tramp           tramping        tramped         tramped        
trample         trampling       trampled        trampled       
trampoline      trampolining    trampolined     trampolined    
tranquilize     tranquilizing   tranquilized    tranquilized   
tranquillize    tranquillizing  tranquillized   tranquillized  
transact        transacting     transacted      transacted     
transcend       transcending    transcended     transcended    
transcribe      transcribing    transcribed     transcribed    
transfer        transferring    transferred     transferred    
transfigure     transfiguring   transfigured    transfigured   
transfix        transfixing     transfixed      transfixed     
transform       transforming    transformed     transformed    
transfuse       transfusing     transfused      transfused     
transgress      transgressing   transgressed    transgressed   
transit         transiting      transited       transited      
translate       translating     translated      translated     
transliterate   transliterating transliterated  transliterated 
transmit        transmitting    transmitted     transmitted    
transmogrify    transmogrifying transmogrified  transmogrified 
transmute       transmuting     transmuted      transmuted     
transpire       transpiring     transpired      transpired     
transplant      transplanting   transplanted    transplanted   
transport       transporting    transported     transported    
transpose       transposing     transposed      transposed     
