Present         Present Cont    Past            Past Part      
beach           beaching        beached         beached        
beam            beaming         beamed          beamed         
bean            beaning         beaned          beaned         
bear            bearing         bore            born           
beard           bearding        bearded         bearded        
beat            beating         beat            beaten         
beatbox         None            None            None           
beatboxer       None            None            None           
beatify         beatifying      beatified       beatified      
beautify        beautifying     beautified      beautified     
beaver          beavering       beavered        beavered       
beckon          beckoning       beckoned        beckoned       
become          becoming        became          become         
bed             bedding         bedded          bedded         
bedazzle        bedazzling      bedazzled       bedazzled      
bedeck          bedecking       bedecked        bedecked       
bedevil         bedeviling      bedeviled       bedeviled      
beef            beefing         beefed          beefed         
beep            beeping         beeped          beeped         
beetle          beetling        beetled         beetled        
befall          befalling       befell          befallen       
befit           befitting       befitting       befitted       
befog           befogging       befogged        befogged       
befriend        befriending     befriended      befriended     
beg             begging         begged          begged         
beget           begetting       begat           begotten       
beggar          beggaring       beggared        beggared       
begin           beginning       began           begun          
begrudge        begrudging      begrudged       begrudged      
beguile         beguiling       beguiled        beguiled       
behave          behaving        behaved         behaved        
behead          beheading       beheaded        beheaded       
behold          beholding       beheld          behold         
behoove         behooving       behooved        behooved       
behove          behoving        behoved         behoved        
belabor         belaboring      belabored       belabored      
belabour        belabouring     belaboured      belaboured     
belay           belaying        belayed         belayed        
belch           belching        belched         belched        
belie           belying         belied          belied         
believe         believing       believed        believed       
belittle        belittling      belittled       belittled      
bellow          bellowing       bellowed        bellowed       
belly           bellying        bellied         bellied        
bellyache       bellyaching     bellyached      bellyached     
belong          belonging       belonged        belonged       
belt            belting         belted          belted         
bemoan          bemoaning       bemoaned        bemoaned       
bemuse          bemusing        bemused         bemused        
benchmark       benchmarking    benchmarked     benchmarked    
bend            bending         bent            bent           
benefit         benefiting      benefited       benefited      
bequeath        bequeathing     bequeathed      bequeathed     
berate          berating        berated         berated        
bereave         bereaving       bereaved        bereaved       
berth           berthing        berthed         berthed        
beseech         beseeching      beseech         besought       
beset           besetting       beset           beset          
besiege         besieging       besieged        besieged       
besmirch        besmirching     besmirched      besmirched     
bespatter       bespattering    bespattered     bespattered    
bespeak         bespeaking      bespoke         bespoke        
best            None            None            None           
bestir          bestirring      bestirred       bestirred      
bestow          bestowing       bestowed        bestowed       
bestride        bestriding      bestrode        bestridden     
bet             betting         betted          bet            
betake          betaking        betook          betaken        
betide          betiding        betided         betided        
betoken         betokening      betokened       betokened      
betray          betraying       betrayed        betrayed       
better          welling         welled          welled         
bewail          bewailing       bewailed        bewailed       
beware          bewaring        bewared         bewared        
bewilder        bewildering     bewildered      bewildered     
bewitch         bewitching      bewitched       bewitched      
bias            biasing         biased          biased         
bicker          bickering       bickered        bickered       
bicycle         bicycling       bicycled        bicycled       
bid             bidding         bid             bid            
bide            biding          bode            bode           
biff            biffing         biffed          biffed         
bifurcate       bifurcating     bifurcated      bifurcated     
big             bigging         bigged          bigged         
bike            biking          biked           biked          
bilk            bilking         bilked          bilked         
bill            billing         billed          billed         
billet          billeting       billeted        billeted       
billow          billowing       billowed        billowed       
bin             binning         binned          binned         
bind            binding         bound           bound          
binge           binging         binged          binged         
biodegrade      biodegrading    biodegraded     biodegraded    
bird            birding         birded          birded         
bisect          bisecting       bisected        bisected       
bitch           bitching        bitched         bitched        
bite            biting          bit             bitten         
bitmap          None            None            None           
bivouac         bivouacking     bivouacked      bivouacked     
bivvy           bivvying        bivvied         bivvied        
blab            blabbing        blabbed         blabbed        
blabber         blabbering      blabbered       blabbered      
black           blacking        blacked         blacked        
blackball       blackballing    blackballed     blackballed    
blacken         blackening      blackened       blackened      
blacklist       blacklisting    blacklisted     blacklisted    
blackmail       blackmailing    blackmailed     blackmailed    
blag            blagging        blagged         blagged        
blame           blaming         blamed          blamed         
blanch          blanching       blanched        blanched       
blank           blanking        blanked         blanked        
blanket         blanketing      blanketed       blanketed      
blare           blaring         blared          blared         
blaspheme       blaspheming     blasphemed      blasphemed     
blast           blasting        blasted         blasted        
blather         blathering      blathered       blathered      
blaze           blazing         blazed          blazed         
blazon          blazoning       blazoned        blazoned       
bleach          bleaching       bleached        bleached       
bleat           bleating        bleated         bleated        
bleed           bleeding        bled            bled           
bleep           bleeping        bleeped         bleeped        
blemish         blemishing      blemished       blemished      
blench          blenching       blenched        blenched       
blend           blending        blended         blended        
bless           blessing        blessed         blessed        
blight          blighting       blighted        blighted       
blind           blinding        blinded         blinded        
blindfold       blindfolding    blindfolded     blindfolded    
blindfolded     blindfolding    blindfolded     blindfolded    
blindside       blindsiding     blindsided      blindsided     
blink           blinking        blinked         blinked        
bliss           blissing        blissed         blissed        
blister         blistering      blistered       blistered      
blitz           blitzing        blitzed         blitzed        
bloat           bloating        bloated         bloated        
block           blocking        blocked         blocked        
blockade        blockading      blockaded       blockaded      
blog            None            None            None           
blood           blooding        blooded         blooded        
bloom           blooming        bloomed         bloomed        
bloop           blooping        blooped         blooped        
blossom         blossoming      blossomed       blossomed      
blot            blotting        blotted         blotted        
blow            blowing         blew            blown          
blub            blubbing        blubbed         blubbed        
blubber         blubbering      blubbered       blubbered      
bludge          bludging        bludged         bludged        
bludgeon        bludgeoning     bludgeoned      bludgeoned     
bluff           bluffing        bluffed         bluffed        
blunder         blundering      blundered       blundered      
blunt           blunting        blunted         blunted        
blur            blurring        blurred         blurred        
blurt           blurting        blurted         blurted        
blush           blushing        blushed         blushed        
bluster         blustering      blustered       blustered      
board           boarding        boarded         boarded        
boast           boasting        boasted         boasted        
bob             bobbing         bobbed          bobbed         
bobble          bobbling        bobbled         bobbled        
bode            boding          boded           boded          
bodge           bodging         bodged          bodged         
bog             bogging         bogged          bogged         
boggle          boggling        boggled         boggled        
boil            boiling         boiled          boiled         
bolster         bolstering      bolstered       bolstered      
bolt            bolting         bolted          bolted         
bomb            bombing         bombed          bombed         
bombard         bombarding      bombarded       bombarded      
bond            bonding         bonded          bonded         
bone            boning          boned           boned          
bonk            bonking         bonked          bonked         
boo             booing          booed           booed          
boob            boobing         boobed          boobed         
boogie          boogieing       boogied         boogied        
book            booking         booked          booked         
bookmark        bookmarking     bookmarked      bookmarked     
boom            booming         boomed          boomed         
boomerang       boomeranging    boomeranged     boomeranged    
boost           boosting        boosted         boosted        
boot            booting         booted          booted         
bootleg         bootlegging     bootlegged      bootlegged     
booze           boozing         boozed          boozed         
bop             bopping         bopped          bopped         
border          bordering       bordered        bordered       
bore            boring          bored           bored          
born            bearing         bore            born           
borrow          borrowing       borrowed        borrowed       
boss            bossing         bossed          bossed         
botch           botching        botched         botched        
bother          bothering       bothered        bothered       
bottle          bottling        bottled         bottled        
bottleful       None            None            None           
